model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,1.2,3,23.6,2331.0,398.0
model04,1.3,1,24.8,2558.0,435.0
model01,0.9,18,51.8,4768.0,479.0
model01,0.5,4,25.5,2458.0,260.0
model01,1.2,32,86.7,6468.0,807.0
model01,1.4,18,51.0,4681.0,651.0
model04,0.8,32,86.3,7200.0,665.0
model03,1.6,30,75.5,6431.0,898.0
model01,1.6,3,25.4,2512.0,497.0
model01,0.3,6,32.5,3045.0,221.0
model03,1.4,12,41.5,3859.0,552.0
model03,0.9,35,86.0,6914.0,762.0
model02,0.3,19,55.5,5121.0,268.0
model01,0.9,23,62.8,5765.0,536.0
model01,0.0,23,61.8,5942.0,61.0
model04,1.8,4,25.5,2499.0,548.0
model02,0.4,5,23.6,2350.0,218.0
model03,0.0,19,51.5,4959.0,57.0
model01,1.7,31,84.3,6943.0,972.0
model01,0.6,34,88.1,8105.0,534.0
model04,0.8,8,31.7,3035.0,366.0
model03,1.3,22,63.4,5775.0,675.0
model02,0.9,1,25.7,2589.0,345.0
model03,0.8,33,86.7,7554.0,620.0
model03,1.9,6,31.6,2846.0,569.0
model03,0.8,4,23.3,2226.0,320.0
model01,0.9,31,85.4,6026.0,804.0
model04,1.5,6,31.4,2868.0,534.0
model02,0.5,24,64.0,6086.0,376.0
model04,1.6,9,32.0,3104.0,577.0
model01,0.1,25,62.8,5880.0,172.0
model01,0.7,10,31.7,3058.0,338.0
model04,0.4,34,87.3,8020.0,396.0
model04,0.1,26,73.9,5911.0,185.0
model03,0.3,16,56.7,4520.0,271.0
model03,0.2,4,22.6,2245.0,154.0
model01,0.4,18,53.2,4541.0,305.0
model01,1.1,19,53.0,5006.0,534.0
model04,2.0,9,31.0,2981.0,624.0
model02,1.8,9,33.9,3258.0,572.0
model03,1.5,5,25.5,2536.0,476.0
model02,1.8,32,82.3,7654.0,963.0
model02,1.0,22,62.1,5692.0,557.0
model01,1.3,14,41.2,3886.0,552.0
model01,0.2,22,63.2,5621.0,249.0
model02,1.0,5,24.8,2490.0,375.0
model02,0.4,35,86.8,8009.0,383.0
model04,1.1,24,62.4,5659.0,602.0
model04,0.0,2,25.2,2497.0,50.0
model02,1.1,24,61.7,5765.0,569.0
model01,0.0,19,50.8,4838.0,56.0
model02,0.6,30,72.3,6921.0,438.0
model04,1.8,24,62.3,5916.0,845.0
model03,1.1,15,42.1,4051.0,476.0
model03,1.4,31,88.9,6620.0,889.0
model01,1.2,26,73.7,5678.0,709.0
model03,0.6,3,26.0,2519.0,289.0
model02,1.4,9,31.5,3048.0,511.0
model02,1.8,24,61.8,5850.0,807.0
model01,1.3,33,82.0,6000.0,877.0
model02,1.3,32,82.2,6048.0,823.0
model04,1.0,3,24.7,2446.0,380.0
model03,1.3,2,24.7,2497.0,428.0
model02,1.2,29,72.1,6283.0,675.0
model04,0.2,15,46.0,4336.0,206.0
model01,1.4,12,41.7,3833.0,588.0
