model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,0.2,1,22.7,2285.0,151.0
model03,1.5,3,25.5,2541.0,471.0
model03,0.2,22,62.8,5283.0,238.0
model03,1.4,15,41.5,3560.0,550.0
model03,1.1,20,51.8,4842.0,520.0
model03,1.2,28,72.4,5958.0,681.0
model03,1.3,27,69.6,5154.0,731.0
model03,0.7,32,84.1,7115.0,603.0
model03,0.7,29,78.2,7289.0,499.0
model03,0.8,30,80.0,7457.0,555.0
model03,1.8,23,62.0,5911.0,785.0
model03,0.4,8,34.3,3195.0,253.0
model03,1.4,25,63.3,5760.0,707.0
model03,1.9,31,80.1,6389.0,953.0
model03,1.9,25,59.0,5650.0,788.0
model03,0.4,13,43.2,4042.0,274.0
model03,1.9,12,40.7,3772.0,643.0
model03,0.6,15,41.5,3957.0,331.0
model03,1.1,1,24.3,2348.0,382.0
model03,0.7,24,64.1,5906.0,448.0
model03,0.0,4,25.3,2538.0,48.0
model03,0.5,29,74.2,7256.0,411.0
model03,0.4,14,43.2,3954.0,275.0
model03,1.4,35,89.7,7749.0,900.0
model03,2.0,33,81.7,7536.0,982.0
model03,2.0,7,31.1,2722.0,584.0
model03,2.0,25,61.4,5626.0,814.0
model03,0.6,8,32.8,3130.0,305.0
model03,1.6,21,64.9,5364.0,780.0
model03,0.6,9,32.7,3148.0,306.0
model03,1.8,32,83.1,7475.0,960.0
model03,1.1,24,62.1,5875.0,577.0
model03,0.2,28,74.4,6808.0,259.0
model03,1.5,14,40.7,3752.0,585.0
model03,1.5,20,50.2,4589.0,664.0
model03,0.1,9,32.3,3130.0,123.0
model03,1.3,1,24.7,2524.0,421.0
model03,1.1,32,78.7,6740.0,699.0
model03,1.4,16,50.4,4310.0,609.0
model03,0.4,2,23.6,2309.0,219.0
model03,2.0,26,72.6,5598.0,886.0
model03,0.2,26,74.2,5465.0,259.0
model03,1.7,30,71.9,6907.0,833.0
model03,0.4,19,52.1,4868.0,302.0
model03,1.6,35,72.6,5855.0,706.0
model03,0.8,35,86.3,7208.0,633.0
model03,1.2,9,30.8,2926.0,439.0
model03,1.3,13,41.0,3784.0,528.0
model03,1.2,29,72.4,5979.0,678.0
model03,1.9,33,79.7,7397.0,940.0
model03,0.9,14,41.9,3927.0,416.0
model03,0.8,10,31.8,3076.0,355.0
model03,1.2,31,84.4,5150.0,773.0
model03,0.0,13,41.7,4008.0,54.0
model03,0.4,28,76.0,6781.0,364.0
model03,1.2,34,82.3,6575.0,759.0
model03,1.4,17,50.3,4645.0,613.0
